state,district,date,income_mean,income_median,deep_dive
Johor,Batu Pahat,2019-01-01,7392,6504,No
Johor,Johor,2019-01-01,8013,7264,Yes
Johor,Johor,2020-01-01,7264,5690,Yes
Johor,Johor,2022-01-01,8517,6879,Yes
Johor,Batu Pahat,2022-01-01,7419,6347,No
Johor,Johor Bahru,2019-01-01,9315,7342,No
Johor,Johor Bahru,2022-01-01,9869,8232,No
Johor,Kluang,2019-01-01,5953,4933,No
Johor,Kluang,2022-01-01,6461,5204,No
Johor,Kota Tinggi,2019-01-01,6982,5475,No
Johor,Kota Tinggi,2022-01-01,7529,6227,No
Johor,Kulai,2019-01-01,8602,7536,No
Johor,Kulai,2022-01-01,9177,7460,No
Johor,Mersing,2019-01-01,4937,3896,No
Johor,Mersing,2022-01-01,5426,4445,No
Johor,Muar,2019-01-01,7540,5963,No
Johor,Muar,2022-01-01,7572,5724,No
Johor,Pontian,2019-01-01,6776,5585,No
Johor,Pontian,2022-01-01,6913,5616,No
Johor,Segamat,2019-01-01,6431,5595,No
Johor,Segamat,2022-01-01,6578,5318,No
Johor,Tangkak,2019-01-01,6659,5561,No
Johor,Tangkak,2022-01-01,7093,5622,No
Kedah,Kedah,2019-01-01,5522,4325,Yes
Kedah,Kedah,2020-01-01,5005,3829,Yes
Kedah,Kedah,2022-01-01,5550,4402,Yes
Kedah,Baling,2019-01-01,4313,3583,No
Kedah,Baling,2022-01-01,4263,3400,No
Kedah,Bandar Baharu,2019-01-01,4959,4022,No
Kedah,Bandar Baharu,2022-01-01,4565,3922,No
Kedah,Kota Setar,2019-01-01,5773,4532,No
Kedah,Kota Setar,2022-01-01,5959,4751,No
Kedah,Kuala Muda,2019-01-01,5656,4247,No
Kedah,Kuala Muda,2022-01-01,5624,4200,No
Kedah,Kubang Pasu,2019-01-01,6291,4814,No
Kedah,Kubang Pasu,2022-01-01,6221,5201,No
Kedah,Kulim,2019-01-01,5476,4489,No
Kedah,Kulim,2022-01-01,5636,4498,No
Kedah,Langkawi,2019-01-01,6737,5905,No
Kedah,Langkawi,2022-01-01,6087,5250,No
Kedah,Padang Terap,2019-01-01,4781,3722,No
Kedah,Padang Terap,2022-01-01,4858,3902,No
Kedah,Pendang,2019-01-01,4680,3765,No
Kedah,Pendang,2022-01-01,4986,3801,No
Kedah,Pokok Sena,2019-01-01,5046,4246,No
Kedah,Pokok Sena,2022-01-01,5494,4668,No
Kedah,Sik,2019-01-01,4960,4094,No
Kedah,Sik,2022-01-01,5053,3703,No
Kedah,Yan,2019-01-01,4397,3502,No
Kedah,Yan,2022-01-01,4637,4080,No
Kelantan,Kelantan,2019-01-01,4874,3563,Yes
Kelantan,Kelantan,2020-01-01,4411,3010,Yes
Kelantan,Kelantan,2022-01-01,4885,3614,Yes
Kelantan,Bachok,2019-01-01,4728,3621,No
Kelantan,Bachok,2022-01-01,4811,3625,No
Kelantan,Gua Musang,2019-01-01,4009,2942,No
Kelantan,Gua Musang,2022-01-01,4473,3342,No
